カテゴリ,項目,回答
基本情報,お名前（表記）,小野　順平
基本情報,屋号・会社名（あれば）,株式会社TOJISM
基本情報,活動エリア（対応可能地域）,阿蘇・湯布院・別府（その近隣の宿泊施設様）
基本情報,メールアドレス（フォームに記載するもの）,tojism.2026@gmail.com
基本情報,電話番号（ページ中間のCTAバナーに掲載）,070-8485-9229
キャッチコピー・想い,コンサルを始めたきっかけ・想い,温泉旅館業界が低迷しているため、守りたいと思うから
キャッチコピー・想い,一言で言うとどんなコンサルタント？,結果にコミットする男（単に売上をあげるだけが結果じゃない人もいるだろうから、精一杯寄り添う、あるいは一緒に戦う、戦友となるということを心がける）
キャッチコピー・想い,大切にしている価値観・信念,人事を尽くして天命を待つ（やれることをやってもいないのにクヨクヨしないこと。やらないならドンと構えておけ。それが合理的な時ももちろん人生なんだからあり得る。嘆くな、人のせいにするな、全て自分で背負って堂々と歩め、という程度の意味）
MISSION（想い深掘り）,なぜ旅館・飲食業に特化したのか,温泉という世界に誇れる資源を守りたいと思ったから
MISSION（想い深掘り）,業界に対してどんな課題感を持っているか,特になし（結果を出し、クライアントのどんなに些細な悩みにも親身になれるかどうかがコンサルの鍵）
MISSION（想い深掘り）,支援を通じてどんな未来を実現したいか,売り上げが上がり、経営のさまざまなリスクを把握でき、持続可能な経営基盤を最短で構築する
MISSION（想い深掘り）,クライアントとどんな関係性を築きたいか,どんな悩みも打ち明けられる戦友
実績数値バッジ（ヒーロー用）,コンサルタント歴（年数）,０
実績数値バッジ（ヒーロー用）,総支援施設数（概算でも可）,０
実績数値バッジ（ヒーロー用）,事業継承件数,２
実績数値バッジ（ヒーロー用）,その他アピールできる数字（あれば）,
経歴・実績,職歴1（役職・期間）,株式会社リクルート（飲食情報カンパニー『ホットペッパー掲載の営業・お店ページ作成』）
経歴・実績,職歴2（役職・期間）,個人事業（もんじゃ焼き屋・BAR・創作居酒屋）
経歴・実績,職歴3（役職・期間）,
経歴・実績,事業継承した旅館1（規模・エリア・経緯）,御宿だいこんや　３部屋　年商３０００万円程度
経歴・実績,事業継承した旅館2（規模・エリア・経緯）,杖立温泉　丸正旅館　２２部屋　年商１億円程度予定
経歴・実績,飲食店経営の経験（件数・業態・規模）,
経歴・実績,保有資格・受賞・メディア掲載（あれば）,
支援実績（事例1）,施設名 or 業種・規模,
支援実績（事例1）,相談前の課題・状況（Before）,
支援実績（事例1）,支援内容,
支援実績（事例1）,支援後の成果（After）※数字で表現できると◎,
支援実績（事例1）,掲載可否（実名/匿名/不可）,
