カテゴリ,確認項目,質問内容,回答,備考・用途
現状数字（KGI設定用）,月間宿泊予約数（合計）,現在の月間宿泊予約数はおよそ何件ですか？,,KGI（直販売上）の算出根拠
現状数字（KGI設定用）,OTA経由の予約比率,OTA（楽天・じゃらん等）経由 vs 直販（電話・公式サイト）の比率はどの程度ですか？,例）OTA 80% / 直販 20%,補助事業の効果測定基準点
現状数字（KGI設定用）,公式サイト経由の年間予約売上,現在、公式Webサイト経由で発生している年間の予約売上はいくら程度ですか？（概算可）,,KGI目標値の起点
現状数字（アウトカム設定用）,公式サイト月間アクセス数（PV）,現在の公式Webサイト月間アクセス数（ページビュー）はわかりますか？,,アウトプット目標の起点
現状数字（アウトカム設定用）,SNSフォロワー数,Instagram・X等の現在のフォロワー数を教えてください（各媒体別）,Instagram: / X:,SNS強化施策の起点
現状数字（アウトカム設定用）,LINE公式アカウントの有無・登録者数,LINE公式アカウントはすでにお持ちですか？登録者数はいますか？,,LINE構築施策の起点
現状数字（アウトカム設定用）,インバウンド（訪日外国人）客の割合,現在の宿泊客のうち外国人客の割合はどの程度ですか？,,多言語対応施策の根拠
現状数字（アウトカム設定用）,客室数・年間稼働率,客室数と現在の年間稼働率（概算）を教えてください,客室数:　　稼働率:　　%,KGI上限・市場規模の根拠
スキーム確認,補助対象事業者②候補,"地域一体の訴求として、丸正旅館以外に阿蘇エリアで補助対象事業者として一緒に申請できる知り合いの旅館・宿泊施設はありますか？",,採択率向上のために複数事業者が望ましい
スキーム確認,キカガクへの発注内容,キカガクさんへの発注内容はAI研修メインですか？ツール導入もありますか？,,経費内訳の確定・業者等選定理由書の作成に必要
スキーム確認,事業実施期間の希望,補助事業の実施期間（開始〜完了）はいつを想定していますか？,例）2026年7月〜2027年1月,様式1-2スケジュールの作成に必要
スキーム確認,目標・ビジョン（3年後）,"3年後、どのような状態を目指していますか？（例：直販比率○%に改善、LINE登録者○人、外国人客○%など）",,様式1-1「2. 事業目的（目指す姿）」に使用
